Market,OrderType,Price,Amount,Total,Fee,Tax,Date
ETHUSDT,sell,4116.6000000000000000,-0.0282642600000000,-116.35265271600000000000000000,-0.0887435486816972,-0.0159738387627054,2021-12-05 16:19:12
ETHUSDT,buy,3000.0000000000000000,0.0109611800000000,32.883540000000000000000000000,-0.0139337033898297,-0.0025080666101693,2021-05-19 04:24:42
ETHUSDT,buy,3100.0000000000000000,0.0070609800000000,21.889038000000000000000000000,-0.0092750161016944,-0.0016695028983049,2021-05-19 03:01:23
ETHUSDT,buy,3219.1000000000000000,0.0102420945935089,32.970326705964499990000000000,-0.0251468593520074,-0.0045264346833613,2021-05-17 17:51:17
ETHUSDT,sell,3224.3000000000000000,-0.0272569400000000,-87.88455164200000000000000000,-0.0670305902354255,-0.0120655062423765,2021-05-17 17:49:43
ETHUSDT,buy,4365.6000000000000000,0.0272569420891181,118.99290638425397736000000000,-0.0907573014795181,-0.0163363142663132,2021-05-12 14:31:30
USDTTRY,buy,8.3870000000000000,119.1554979738237609,999.3571615064598826683000000,-1.5244394013051840,-0.2743990922349331,2021-05-12 14:28:28
USDTTRY,sell,8.4240000000000000,-119.0600000000000000,-1002.9614400000000000000000000,-1.5299374398048000,-0.2753887391648640,2021-05-10 19:31:42
ETHUSDT,sell,3185.0000000000000000,-0.0075609600000000,-24.081657600000000000000000000,-0.0183673659661021,-0.0033061258738983,2021-05-03 08:49:04
ETHUSDT,sell,2489.0000000000000000,-0.0075609600000000,-18.819229440000000000000000000,-0.0079742497627114,-0.0014353649572880,2021-04-15 20:09:17
ETHUSDT,sell,2250.0000000000000000,-0.0151219200000000,-34.024320000000000000000000000,-0.0144170847457619,-0.0025950752542371,2021-04-13 14:54:38
ETHUSDT,sell,2199.0000000000000000,-0.0068281000000000,-15.014991900000000000000000000,-0.0063622847033894,-0.0011452112466100,2021-04-12 07:32:24
ETHUSDT,sell,2135.0000000000000000,-0.0123573100000000,-26.382856850000000000000000000,-0.0111791766313553,-0.0020122517936439,2021-04-06 00:41:03
ETHUSDT,sell,1839.1000000000000000,-0.0216292500000000,-39.778353675000000000000000000,-0.0303394222944923,-0.0054610960130086,2021-03-30 12:49:36
USDTTRY,buy,8.1400000000000000,14.8086025657974012,120.54202488559084576800000000,-0.1838772156009779,-0.0330978988081760,2021-03-30 12:47:57
USDTTRY,buy,7.9490000000000000,45.4932789856299582,361.62607465677253773180000000,-0.5516316468029339,-0.0992936964245281,2021-03-29 16:03:29
USDTTRY,buy,8.0440000000000000,80.4121952497038242,646.83569858861756186480000000,-0.9866961113410490,-0.1776053000413888,2021-03-26 19:14:23
USDTTRY,sell,8.2440000000000000,-20.3400000000000000,-167.68296000000000000000000000,-0.2557869408432000,-0.0460416493517760,2021-03-25 02:17:26
USDTTRY,sell,7.9850000000000000,-40.6800000000000000,-324.82980000000000000000000000,-0.2752796126484000,-0.0495503302767120,2021-03-23 00:03:18
USDTTRY,sell,7.8700000000000000,-81.3600000000000000,-640.30320000000000000000000000,-0.9767313073440000,-0.1758116353219200,2021-03-22 20:45:28
USDTTRY,buy,7.6670000000000000,65.0973808897014101,499.10161928134071123670000000,-0.7613395920841427,-0.1370411265751456,2021-03-21 19:10:25
USDTTRY,buy,7.6670000000000000,65.0973808897014101,499.10161928134071123670000000,-0.7613395920841427,-0.1370411265751456,2021-03-21 19:08:35
USDTTRY,buy,7.5480000000000000,32.5317979677412729,245.55001106051112784920000000,-0.3745668978719248,-0.0674220416169464,2021-03-21 12:14:03
USDTTRY,sell,7.6250000000000000,-14.5700000000000000,-111.09625000000000000000000000,-0.1694684416750000,-0.0305043195015000,2021-03-15 07:34:46
ETHUSDT,sell,1822.0000000000000000,-0.0080000000000000,-14.576000000000000000000000000,-0.0061762711864403,-0.0011117288135592,2021-03-08 23:38:12
BTCTRY,sell,374001.0000000000000000,-0.0003609700000000,-135.00314097000000000000000000,-0.2059364912984574,-0.0370685684337223,2021-03-07 20:26:20
BTCTRY,buy,360492.0000000000000000,0.0003599703211531,129.76642101312332520000000000,-0.1979482939418385,-0.0356306929095309,2021-02-25 17:59:26
ETHTRY,buy,10500.0000000000000000,0.0066600000000000,69.930000000000000000000000000,-0.0592627379400000,-0.0106672928292000,2021-02-23 12:27:33
ETHTRY,buy,10200.0000000000000000,0.0048970600000000,49.950012000000000000000000000,-0.0423305372694960,-0.0076194967085092,2021-02-23 09:10:05
ETHTRY,buy,11000.0000000000000000,0.0019255770504497,21.181347554946700000000000000,-0.0323104511872667,-0.0058158812137080,2021-02-23 08:28:15
ETHTRY,buy,11000.0000000000000000,0.0026117103975624,28.728814373186400000000000000,-0.0438235080211459,-0.0078882314438062,2021-02-23 08:28:15
ETHTRY,buy,11439.0000000000000000,0.0043631577872308,49.910161928133121200000000000,-0.0761339592084128,-0.0137041126575143,2021-02-23 05:28:05
ETHTRY,buy,12581.0000000000000000,0.0020628951754733,25.953284202629587300000000000,-0.0395896587883752,-0.0071261385819075,2021-02-23 01:01:19
ETHTRY,buy,13000.0000000000000000,0.0057343500000000,74.546550000000000000000000000,-0.0631750701699000,-0.0113715126305820,2021-02-22 11:29:52
ETHTRY,buy,13490.0000000000000000,0.0031078232779564,41.924536019631836000000000000,-0.0639525257350667,-0.0115114546323120,2021-02-22 00:54:26
ETHTRY,buy,13659.0000000000000000,0.0036540128800156,49.910161928133080400000000000,-0.0761339592084127,-0.0137041126575142,2021-02-21 20:49:40
ETHTRY,buy,13761.0000000000000000,0.0094300138807607,129.76642101314799270000000000,-0.1979482939418762,-0.0356306929095377,2021-02-21 20:09:47
ETHTRY,buy,13800.0000000000000000,0.0125019300000000,172.52663400000000000000000000,-0.1462090761963720,-0.0263176337153469,2021-02-21 20:08:47
ETHTRY,buy,13806.0000000000000000,0.0221099700000000,305.25024582000000000000000000,-0.2586867628221255,-0.0465636173079825,2021-02-21 19:44:58
BTCTRY,buy,398561.0000000000000000,0.0014902900000000,593.97147269000000000000000000,-0.5033658763029220,-0.0906058577345259,2021-02-20 13:04:08
BTCTRY,buy,398561.0000000000000000,0.0004582200000000,182.62862142000000000000000000,-0.1547700862513503,-0.0278586155252430,2021-02-20 13:04:08
BTCTRY,sell,399800.0000000000000000,-0.0007331700000000,-293.12136600000000000000000000,-0.4471331941237200,-0.0804839749422696,2021-02-20 12:42:03
BTCTRY,sell,399333.0000000000000000,-0.0007331700000000,-292.77897561000000000000000000,-0.4466109049750062,-0.0803899628955011,2021-02-20 12:26:41
BTCTRY,buy,392111.0000000000000000,0.0014663324043755,574.96506541208168050000000000,-0.8770632100808976,-0.1578713778145615,2021-02-19 21:47:35
USDTTRY,sell,7.1700000000000000,-9.3400000000000000,-66.967800000000000000000000000,-0.1021540214760000,-0.0183877238656800,2021-02-14 16:00:11
USDTTRY,sell,7.1790000000000000,-9.3300000000000000,-66.980070000000000000000000000,-0.1021727383794000,-0.0183910929082920,2021-02-14 15:57:53
USDTTRY,sell,7.1400000000000000,-18.6600000000000000,-133.23240000000000000000000000,-0.1129088632392000,-0.0203235953830560,2021-02-13 19:54:21
USDTTRY,sell,7.1300000000000000,-37.3200000000000000,-266.09160000000000000000000000,-0.4059014484720000,-0.0730622607249600,2021-02-13 18:46:43
ETHTRY,sell,13090.0000000000000000,-0.0007808700000000,-10.221588300000000000000000000,-0.0155922152245860,-0.0028065987404254,2021-02-12 23:15:55
BTCTRY,sell,325400.0000000000000000,-0.0003483100000000,-113.34007400000000000000000000,-0.1728912156810800,-0.0311204188225944,2021-02-11 10:47:21
BTCTRY,buy,320970.0000000000000000,0.0003483153027355,111.79876271901343500000000000,-0.1705400686268374,-0.0306972123528307,2021-02-10 17:46:28
USDTTRY,buy,7.0190000000000000,32.1380485055008456,225.57696246011043526640000000,-0.3440996100759016,-0.0619379298136622,2021-02-08 15:11:18
DOTTRY,sell,142.6800000000000000,-0.1400000000000000,-19.975200000000000000000000000,-0.0304705695840000,-0.0054847025251200,2021-02-03 23:02:28
DOTTRY,sell,137.6900000000000000,-0.1300000000000000,-17.899700000000000000000000000,-0.0273045603740000,-0.0049148208673200,2021-02-03 21:23:38
BTCUSDT,sell,37000.0000000000000000,-0.0003635700000000,-13.452090000000000000000000000,-0.0057000381355929,-0.0010260068644067,2021-02-03 20:42:37
BTCUSDT,sell,36850.0000000000000000,-0.0001211900000000,-4.4658515000000000000000000000,-0.0034061579237289,-0.0006131084262712,2021-02-03 19:40:36
BTCUSDT,sell,37250.0000000000000000,-0.0001615800000000,-6.0188550000000000000000000000,-0.0025503622881354,-0.0004590652118643,2021-02-03 17:03:51
BTCUSDT,sell,37106.0000000000000000,-0.0002154400000000,-7.994116640000000000000000000,-0.0060972076067798,-0.0010974973692203,2021-02-03 16:55:44
BTCUSDT,sell,36956.0000000000000000,-0.0002872600000000,-10.615980560000000000000000000,-0.0080969343254239,-0.0014574481785763,2021-02-03 16:51:01
DOTTRY,sell,136.2900000000000000,-0.0800000000000000,-10.903200000000000000000000000,-0.0166319593440000,-0.0029937526819200,2021-02-03 14:44:30
DOTTRY,sell,134.5000000000000000,-0.3500000000000000,-47.075000000000000000000000000,-0.0398940853500000,-0.0071809353630000,2021-02-03 13:25:34
DOTTRY,sell,132.7600000000000000,-0.2300000000000000,-30.534800000000000000000000000,-0.0465783946160000,-0.0083841110308800,2021-02-03 13:18:45
DOTTRY,sell,130.0000000000000000,-0.3100000000000000,-40.300000000000000000000000000,-0.0341525574000000,-0.0061474603320000,2021-02-03 12:55:42
ADATRY,sell,2.9310000000000000,-33.1805000000000000,-97.25204550000000000000000000,-0.1483502152466100,-0.0267030387443898,2021-02-02 09:11:55
ADATRY,sell,2.9413000000000000,-11.0601000000000000,-32.531072130000000000000000000,-0.0496235480485446,-0.0089322386487380,2021-02-02 09:08:41
XLMTRY,sell,2.2211000000000000,-5.4500000000000000,-12.104995000000000000000000000,-0.0184652014729000,-0.0033237362651220,2021-01-29 12:02:18
ADATRY,buy,2.4150000000000000,12.4000402305923157,29.946097156880442415500000000,-0.0456803755250485,-0.0082224675945087,2021-01-27 09:42:03
DOTTRY,buy,125.6300000000000000,0.2383674055311664,29.946097156880434832000000000,-0.0456803755250485,-0.0082224675945087,2021-01-26 12:30:45
ADATRY,buy,2.5080000000000000,31.8406136702609703,79.85625908501451351240000000,-0.1218143347334628,-0.0219265802520233,2021-01-26 12:30:20
DOTTRY,buy,126.9700000000000000,0.2358517536180234,29.946097156880431098000000000,-0.0456803755250485,-0.0082224675945087,2021-01-26 09:35:15
ETHTRY,sell,10695.0000000000000000,-0.0023425800000000,-25.053893100000000000000000000,-0.0382177096126020,-0.0068791877302683,2021-01-25 00:49:41
DOTTRY,buy,128.0000000000000000,0.1900000000000000,24.320000000000000000000000000,-0.0206101785600000,-0.0037098321408000,2021-01-24 19:34:25
DOTTRY,buy,128.2000000000000000,0.1946574178164355,24.955080964067031100000000000,-0.0380669796042071,-0.0068520563287572,2021-01-24 16:31:47
DOTTRY,buy,129.3900000000000000,0.3857343065780514,49.910161928134070646000000000,-0.0761339592084142,-0.0137041126575145,2021-01-24 16:29:52
BTCTRY,buy,218956.0000000000000000,0.0001595622561139,34.937113349675088400000000000,-0.0532937714458613,-0.0095928788602550,2021-01-22 01:28:52
BTCTRY,buy,223000.0000000000000000,0.0002239900000000,49.949770000000000000000000000,-0.0423303321846600,-0.0076194597932388,2021-01-22 00:25:26
BTCTRY,buy,229940.0000000000000000,0.0000837817191745,19.264768506984530000000000000,-0.0293868631759243,-0.0052896353716663,2021-01-21 22:13:52
BTCTRY,buy,229930.0000000000000000,0.0001332814048673,30.645393421138289000000000000,-0.0467470960324727,-0.0084144772858450,2021-01-21 22:13:52
BTCTRY,buy,233504.0000000000000000,0.0004274887104986,99.82032385626509440000000000,-0.1522679184168239,-0.0274082253150283,2021-01-21 16:00:21
XLMTRY,sell,2.3359000000000000,-5.4500000000000000,-12.730655000000000000000000000,-0.0194195957501000,-0.0034955272350180,2021-01-19 16:42:04
XLMTRY,sell,2.3350000000000000,-10.9000000000000000,-25.451500000000000000000000000,-0.0388242271300000,-0.0069883608834000,2021-01-19 16:41:45
ETHTRY,sell,10620.0000000000000000,-0.0031234500000000,-33.171039000000000000000000000,-0.0281110623688620,-0.0050599912263951,2021-01-19 16:07:08
XLMTRY,sell,2.3171000000000000,-7.2666000000000000,-16.837438860000000000000000000,-0.0256841659858212,-0.0046231498774478,2021-01-19 12:30:13
ETHTRY,sell,10695.0000000000000000,-0.0020822900000000,-22.270091550000000000000000000,-0.0339712430522010,-0.0061148237493961,2021-01-19 11:55:51
ETHTRY,sell,10630.0000000000000000,-0.0027763900000000,-29.513025700000000000000000000,-0.0450197596632940,-0.0081035567393929,2021-01-19 11:53:31
ETHTRY,sell,10574.0000000000000000,-0.0037018500000000,-39.143361900000000000000000000,-0.0597100671094980,-0.0107478120797096,2021-01-19 11:50:37
ETHTRY,sell,10450.0000000000000000,-0.0049358100000000,-51.579214500000000000000000000,-0.0437112179617410,-0.0078680192331133,2021-01-19 11:36:27
ETHTRY,sell,10440.0000000000000000,-0.0065810700000000,-68.706370800000000000000000000,-0.1048060721457360,-0.0188650929862324,2021-01-19 08:25:43
ETHTRY,sell,10375.0000000000000000,-0.0087747600000000,-91.03813500000000000000000000,-0.1388713918917000,-0.0249968505405060,2021-01-19 08:23:41
ETHTRY,sell,10000.0000000000000000,-0.0116996900000000,-116.99690000000000000000000000,-0.0991499588802000,-0.0178469925984360,2021-01-19 07:47:10
XLMTRY,sell,2.2687000000000000,-29.0666000000000000,-65.943395420000000000000000000,-0.1005913742415764,-0.0181064473634837,2021-01-19 02:08:06
BTCTRY,buy,247802.0000000000000000,0.0001209400000000,29.969173880000000000000000000,-0.0253976161579970,-0.0045715709084394,2021-01-11 20:54:21
ETHTRY,buy,7751.0000000000000000,0.0033506200000000,25.970655620000000000000000000,-0.0396161574958604,-0.0071309083492548,2021-01-11 14:12:36
ETHTRY,buy,7760.0000000000000000,0.0044791100000000,34.757893600000000000000000000,-0.0530203860553120,-0.0095436694899561,2021-01-11 14:12:01
ETHTRY,buy,7825.0000000000000000,0.0058493400000000,45.771085500000000000000000000,-0.0698201292434100,-0.0125676232638138,2021-01-11 14:10:37
ETHTRY,buy,7902.0000000000000000,0.0037927100000000,29.969994420000000000000000000,-0.0253983115311843,-0.0045716960756131,2021-01-11 14:09:36
ETHTRY,buy,8060.0000000000000000,0.0019816500000000,15.972099000000000000000000000,-0.0243641592565800,-0.0043855486661844,2021-01-11 14:02:21
ETHTRY,buy,8230.0000000000000000,0.0013334500000000,10.974293500000000000000000000,-0.0093002528209230,-0.0016740455077661,2021-01-11 13:01:48
ETHTRY,buy,8401.0000000000000000,0.0016648000000000,13.985984800000000000000000000,-0.0118525347066384,-0.0021334562471949,2021-01-11 11:57:58
ETHTRY,buy,8651.0000000000000000,0.0021940800000000,18.980986080000000000000000000,-0.0160855885013846,-0.0028954059302492,2021-01-11 09:22:59
ETHTRY,buy,8868.0000000000000000,0.0038301700000000,33.965947560000000000000000000,-0.0287847139873024,-0.0051812485177144,2021-01-11 02:18:00
XLMTRY,buy,2.0362000000000000,12.6544000000000000,25.766889280000000000000000000,-0.0218363564554502,-0.0039305441619810,2021-01-11 02:15:51
XLMTRY,buy,2.1800000000000000,20.9531000000000000,45.677758000000000000000000000,-0.0387099814391640,-0.0069677966590495,2021-01-10 18:26:10
ETHTRY,sell,9900.0000000000000000,-0.0061076100000000,-60.465339000000000000000000000,-0.0512418352582620,-0.0092235303464871,2021-01-10 07:51:57
ETHTRY,sell,9850.0000000000000000,-0.0081434700000000,-80.21317950000000000000000000,-0.0679773006727110,-0.0122359141210879,2021-01-10 02:57:52
ETHTRY,buy,8650.0000000000000000,0.0015013800000000,12.986937000000000000000000000,-0.0110058836561460,-0.0019810590581062,2021-01-07 18:45:14
ETHTRY,buy,9000.0000000000000000,0.0019980000000000,17.982000000000000000000000000,-0.0152389897560000,-0.0027430181560800,2021-01-07 18:43:31
ETHTRY,buy,9111.0000000000000000,0.0080042800000000,72.926995080000000000000000000,-0.0618025653965066,-0.0111244617713711,2021-01-07 18:40:33
ETHTRY,buy,9475.0000000000000000,0.0210702530567320,199.64064771253570000000000000,-0.3045358368336562,-0.0548164506300581,2021-01-07 18:14:28
XLMTRY,sell,2.5000000000000000,-24.5257000000000000,-61.314250000000000000000000000,-0.0519612516765000,-0.0093530253017700,2021-01-06 12:13:58
XLMTRY,sell,2.4000000000000000,-16.3504000000000000,-39.240960000000000000000000000,-0.0598589452032000,-0.0107746101365760,2021-01-06 12:08:18
